o,d,dis
3,45,25633.575
3,48,25794.41237
3,116,25850.11449
3,61,26444.71464
3,82,26600.8904
3,67,26710.3393
3,76,27440.48332
3,8,27491.87181
3,62,27492.02423
3,49,27578.88089
3,64,27661.35758
3,105,27804.25692
3,68,28216.94385
3,46,28359.96304
3,29,28568.02844
3,53,28888.15544
3,51,28961.34578
3,52,29019.63203
3,50,29296.30289
3,118,29429.37042
3,14,29619.27043
3,24,30444.48801
3,4,31879.58372
3,26,32041.9722
3,13,32961.52075
3,7,33111.92156
3,63,33193.9713
3,21,33392.2644
3,22,33396.9373
3,27,34880.91817
4,4,0.0
4,13,1203.094684
4,14,2352.681597
4,118,3035.481521
4,46,6073.518665
4,82,6888.906466
4,68,7114.599173
4,45,7441.243442
4,64,7450.842454
4,37,7517.18601
4,83,7856.749694
4,39,7907.449618
4,42,8095.379373
4,41,8115.031907
4,53,8247.005063
4,44,8314.468785
4,116,8451.260039
4,105,8662.390139
4,50,8674.322872
4,51,8781.053077
4,79,8792.841291
4,52,8839.339321
4,76,8865.597648
4,49,9883.318149
4,48,9996.628516
4,115,10097.12138
4,113,10102.11673
4,67,10107.12574
4,114,10139.97642
4,35,10370.55361
4,36,10614.83065
4,117,10642.02932
4,81,11053.253
4,84,11644.42051
4,80,12691.49422
4,10,12713.17506
4,9,12786.45156
4,55,13210.44919
4,69,13332.0126
4,87,13508.10507
4,90,13583.43336
4,43,13621.67436
4,72,14032.2782
4,38,14034.99671
4,85,14188.12653
4,119,14239.22338
4,97,14345.11791
4,104,14366.04678
4,89,14753.11562
4,78,15069.24596
4,29,15265.59404
4,22,15328.20591
4,21,15332.87881
4,40,15656.56766
4,34,15884.40908
4,75,15990.30269
4,108,16382.94369
4,1,16450.17031
4,107,16744.07405
4,74,16772.93064
4,12,17217.60171
4,99,17426.28787
4,86,17777.93283
4,24,18228.71755
4,47,18272.12204
4,123,18280.71049
4,122,18355.20152
4,124,18360.68395
4,121,18365.86602
4,73,18386.34301
4,106,18664.76396
4,103,18773.90005
4,101,18958.6251
4,96,19005.26758
4,63,19232.06658
4,61,19250.95227
4,100,19273.19487
4,7,19314.11633
4,109,19709.1838
4,59,19710.70595
4,6,19737.45764
4,102,19811.34951
4,120,19902.04677
4,33,20384.21678
4,70,20633.01808
4,95,20660.96433
4,91,20696.20953
4,93,20945.11289
4,5,21104.10777
4,77,21296.88496
4,88,21360.80388
4,62,21487.74188
4,125,21856.03854
4,58,22408.45934
4,2,22979.56985
4,60,23700.03539
4,15,23733.9187
4,16,23797.5784
4,30,23870.02786
4,98,23944.72635
4,31,23979.62661
4,17,23985.95326
4,28,24187.07002
4,112,24411.18518
4,57,24422.38458
